TrialIndex,Participant,Type,Length,SelectC,RT,PresenPos
377,3,O,50,0,531,cs
378,3,O,150,0,607,cs
379,3,I,100,1,1553,cs
380,3,I,80,0,630,cs
381,3,I,60,0,717,cs
382,3,O,100,0,567,sc
383,3,I,130,1,758,cs
384,3,O,50,0,670,sc
385,3,I,110,0,582,cs
386,3,I,120,1,1164,sc
387,3,O,80,0,574,sc
388,3,O,90,0,949,cs
389,3,I,50,0,541,sc
390,3,O,50,0,613,sc
391,3,O,120,0,558,cs
392,3,I,90,1,1054,sc
393,3,I,140,1,742,cs
394,3,O,80,0,1116,sc
395,3,I,100,1,798,sc
396,3,O,60,0,695,cs
397,3,I,140,1,1422,sc
398,3,I,140,1,709,sc
399,3,I,60,0,661,sc
400,3,I,90,0,663,cs
401,3,I,120,1,807,sc
402,3,O,80,0,670,sc
403,3,I,150,1,598,sc
404,3,O,150,1,1062,sc
405,3,I,90,0,733,sc
406,3,O,60,0,488,cs
407,3,O,150,1,723,sc
408,3,I,60,0,740,sc
409,3,I,70,0,551,cs
410,3,O,130,0,535,sc
411,3,O,80,0,567,cs
412,3,O,90,0,590,cs
413,3,I,70,1,1117,cs
414,3,O,110,1,755,cs
415,3,O,70,0,575,cs
416,3,O,70,0,594,sc
417,3,O,110,0,630,cs
418,3,I,150,1,654,cs
419,3,I,100,1,838,sc
420,3,O,60,0,534,cs
421,3,O,120,0,685,sc
422,3,I,80,1,1206,sc
423,3,I,100,1,628,sc
424,3,O,150,1,838,sc
425,3,O,130,1,701,cs
426,3,I,120,1,653,sc
427,3,O,110,1,559,cs
428,3,O,60,0,558,sc
429,3,O,60,0,494,sc
430,3,O,90,0,461,cs
431,3,I,90,1,614,sc
432,3,O,100,0,534,cs
433,3,O,120,1,804,cs
434,3,I,130,1,631,cs
435,3,O,120,0,606,cs
436,3,I,90,0,622,cs
437,3,I,120,1,692,cs
438,3,I,110,1,647,cs
439,3,I,150,1,580,sc
440,3,O,70,0,639,cs
441,3,O,70,0,423,cs
442,3,I,100,1,783,sc
443,3,O,150,1,788,cs
444,3,I,60,0,1020,sc
445,3,I,60,0,430,sc
446,3,I,130,1,678,cs
447,3,I,100,0,637,cs
448,3,I,90,0,559,cs
449,3,O,120,0,687,sc
450,3,O,60,0,454,cs
451,3,O,140,0,543,sc
452,3,I,50,1,934,cs
453,3,O,120,1,877,cs
454,3,O,80,0,654,cs
455,3,O,100,0,710,cs
456,3,I,70,0,1479,sc
457,3,O,50,0,549,cs
458,3,I,110,1,773,sc
459,3,I,110,1,751,sc
460,3,O,50,0,543,cs
461,3,I,140,1,614,sc
462,3,O,80,0,582,sc
463,3,O,130,0,663,sc
464,3,I,110,1,910,cs
465,3,I,60,0,851,cs
466,3,O,60,0,630,sc
467,3,I,140,1,630,cs
468,3,I,100,1,839,cs
469,3,I,100,1,701,cs
470,3,O,140,1,827,sc
471,3,O,140,0,679,sc
472,3,I,120,1,772,cs
473,3,I,50,0,547,cs
474,3,I,50,0,627,sc
475,3,I,80,0,594,sc
476,3,I,140,1,679,cs
477,3,I,130,1,511,sc
478,3,I,80,0,798,sc
479,3,I,120,1,702,cs
480,3,I,70,1,544,sc
481,3,I,130,1,733,sc
482,3,O,140,1,742,cs
483,3,O,100,0,967,sc
484,3,I,120,1,823,cs
485,3,I,90,1,623,sc
486,3,I,150,1,863,sc
487,3,O,140,1,1398,sc
488,3,O,90,0,885,sc
489,3,O,100,0,1653,sc
490,3,O,90,0,686,cs
491,3,I,50,0,686,cs
492,3,O,130,1,478,cs
493,3,I,150,1,559,cs
494,3,O,130,1,518,sc
495,3,O,50,0,463,sc
496,3,I,70,0,573,sc
497,3,I,70,0,542,sc
498,3,I,110,1,625,sc
499,3,I,150,1,475,cs
500,3,O,50,0,583,cs
501,3,I,150,1,555,cs
502,3,O,130,0,455,cs
503,3,I,80,0,523,cs
504,3,O,150,1,558,cs
505,3,I,60,0,463,cs
506,3,I,150,1,719,sc
507,3,O,120,0,527,sc
508,3,I,90,1,814,cs
509,3,I,110,1,775,cs
510,3,O,140,1,567,cs
511,3,O,90,0,950,sc
512,3,O,100,0,575,cs
513,3,O,120,0,470,sc
514,3,O,100,0,565,sc
515,3,I,50,0,710,sc
516,3,O,110,0,935,sc
517,3,O,110,0,695,sc
518,3,I,80,0,495,cs
519,3,I,60,0,451,cs
520,3,I,110,0,488,sc
521,3,I,70,0,396,cs
522,3,I,80,0,622,sc
523,3,O,110,0,551,sc
524,3,I,140,1,582,sc
525,3,O,130,1,751,cs
526,3,O,90,0,519,sc
527,3,O,80,0,503,cs
528,3,O,70,0,452,cs
529,4,I,80,0,11028,sc
530,4,I,70,0,2622,sc
531,4,O,60,0,973,cs
532,4,O,100,0,2628,cs
533,4,O,120,1,2278,sc
534,4,I,60,0,1238,sc
535,4,I,50,0,863,sc
536,4,O,100,0,2865,cs
537,4,I,50,0,830,cs
538,4,O,80,0,1060,sc
539,4,I,70,0,1382,cs
540,4,O,80,0,689,cs
541,4,O,150,1,942,sc
542,4,O,100,0,2498,sc
543,4,O,130,1,988,cs
544,4,I,140,1,828,cs
545,4,O,120,1,1075,sc
546,4,I,140,1,783,sc
547,4,O,130,1,1323,cs
548,4,I,150,1,618,sc
549,4,I,150,1,592,cs
550,4,O,70,0,763,sc
551,4,O,50,0,747,cs
552,4,I,130,1,770,cs
553,4,O,140,1,717,sc
554,4,O,50,0,745,cs
555,4,O,100,0,1119,cs
556,4,O,120,0,3560,cs
557,4,O,150,1,627,sc
558,4,I,130,1,721,sc
559,4,I,140,1,719,sc
560,4,I,120,1,724,sc
561,4,O,110,0,2614,sc
562,4,I,140,1,632,sc
563,4,O,110,0,2250,cs
564,4,I,110,1,815,cs
565,4,I,60,0,701,sc
566,4,O,60,0,828,sc
567,4,I,90,1,1663,cs
568,4,I,50,0,601,cs
569,4,O,150,1,1192,sc
570,4,I,120,1,769,sc
571,4,O,130,1,1216,cs
572,4,O,100,0,2049,sc
573,4,I,90,1,1656,cs
574,4,I,100,1,848,sc
575,4,I,150,1,708,sc
576,4,O,90,0,1144,cs
577,4,O,70,0,616,cs
578,4,I,90,1,983,sc
579,4,O,90,0,687,cs
580,4,O,90,0,1466,sc
581,4,O,140,1,601,sc
582,4,I,100,1,853,cs
583,4,O,120,1,1843,sc
584,4,I,60,0,787,cs
585,4,O,140,1,942,cs
586,4,O,50,0,802,sc
587,4,I,130,1,844,cs
588,4,O,140,1,993,cs
589,4,O,130,1,851,cs
590,4,O,120,1,1227,cs
591,4,O,70,0,623,cs
592,4,I,50,0,735,sc
593,4,O,50,0,607,cs
594,4,O,110,0,1163,sc
595,4,I,50,0,653,cs
596,4,I,100,1,636,cs
597,4,I,110,1,558,sc
598,4,O,100,0,698,sc
599,4,O,90,0,649,cs
600,4,O,80,0,692,cs
601,4,O,130,1,657,sc
602,4,O,60,0,622,cs
603,4,O,80,0,624,sc
604,4,O,140,1,621,sc
605,4,I,120,1,638,sc
606,4,O,110,0,1148,cs
607,4,O,50,0,571,sc
608,4,O,150,1,637,sc
609,4,I,140,1,675,cs
610,4,I,60,0,765,sc
611,4,O,120,1,1060,cs
612,4,I,130,1,1098,cs
613,4,I,60,0,992,cs
614,4,O,150,1,722,cs
615,4,O,150,1,681,cs
616,4,I,80,0,594,cs
617,4,I,120,1,701,cs
618,4,O,140,1,720,cs
619,4,O,80,0,625,cs
620,4,O,70,0,672,sc
621,4,I,80,0,905,cs
622,4,I,80,1,814,sc
623,4,I,60,0,914,cs
624,4,I,70,0,1112,sc
625,4,O,110,0,854,cs
626,4,I,140,1,699,sc
627,4,O,50,0,744,sc
628,4,I,90,1,1506,cs
629,4,O,110,1,4484,sc
630,4,I,120,1,863,sc
631,4,I,100,0,999,sc
632,4,O,80,0,703,sc
633,4,I,110,1,689,cs
634,4,I,120,1,702,cs
635,4,I,90,0,5603,sc
636,4,I,50,0,549,cs
637,4,O,70,0,537,cs
638,4,O,90,0,641,sc
639,4,O,100,0,687,sc
640,4,I,60,0,883,cs
641,4,I,90,0,1231,sc
642,4,O,70,0,649,sc
643,4,I,90,0,704,cs
644,4,O,60,0,602,cs
645,4,I,110,1,657,cs
646,4,O,60,0,645,sc
647,4,I,100,1,846,sc
648,4,I,150,1,551,sc
649,4,O,80,0,6292,cs
650,4,I,80,0,695,sc
651,4,O,110,0,928,sc
652,4,O,60,0,746,cs
653,4,I,80,1,1396,cs
654,4,O,140,1,614,cs
655,4,O,100,0,833,cs
656,4,I,80,1,1640,cs
657,4,I,70,0,651,sc
658,4,I,130,1,583,sc
659,4,I,140,1,627,cs
660,4,O,50,0,812,sc
661,4,I,70,0,825,cs
662,4,I,130,1,663,sc
663,4,O,60,0,600,sc
664,4,I,70,0,1077,sc
665,4,O,80,0,677,sc
666,4,I,150,1,625,cs
667,4,I,60,0,918,sc
668,4,O,120,1,1104,cs
669,4,I,80,1,1490,sc
670,4,I,70,0,1013,cs
671,4,I,110,1,900,sc
672,4,I,50,0,743,sc
673,4,O,70,0,686,cs
674,4,I,100,1,1006,cs
675,4,O,110,0,867,cs
676,4,I,120,1,698,cs
677,4,O,70,0,709,sc
678,4,O,150,1,828,cs
679,4,O,140,1,985,sc
680,4,I,100,1,1123,sc
681,4,I,150,1,1071,sc
682,4,O,60,0,617,sc
683,4,I,100,1,954,cs
684,4,O,130,1,1160,sc
685,4,I,110,1,1409,sc
686,4,O,120,1,1941,sc
687,4,O,90,0,736,sc
688,4,I,130,1,610,sc
